(BABA), 15000, 01/19/2024, 20024354, S
(GOOG), 15000, 01/19/2024, 20024354, S
(GOOG), 50000, 01/19/2024, 20024354, S
(AXP), 15000, 01/19/2024, 20024354, S
(AXP), 15000, 01/19/2024, 20024354, S
(AXP), 50000, 01/19/2024, 20024354, S
(BAC), 15000, 01/19/2024, 20024354, S
(BAC), 15000, 01/19/2024, 20024354, S
(BRK.B), 15000, 01/19/2024, 20024354, S
(BRK.B), 15000, 01/19/2024, 20024354, S
(BRK.B), 50000, 01/19/2024, 20024354, S
(META), 50000, 01/19/2024, 20024354, S
(META), 15000, 01/19/2024, 20024354, S
(META), 15000, 01/19/2024, 20024354, S
