Amentum Holdings, Inc. Common Stock (AMTM)  [ST]E 09/30/2024 10/02/2024 $1,001 - $15,000 


Amentum Holdings, Inc. Common Stock (AMTM)  [ST]E 09/30/2024 10/02/2024 $1,001 - $15,000 


Amentum Holdings, Inc. Common Stock (AMTM)  [ST]E 09/30/2024 10/02/2024 $1,001 - $15,000 


Amentum Holdings, Inc. Common Stock (AMTM)  [ST]E 09/30/2024 10/02/2024 $1,001 - $15,000 


Jacobs Solutions Inc. Common Stock (J) [ST]E 09/30/2024 10/02/2024 $15,001 - $50,000 


TypeDate Notification DateAmount Cap . Gains > Jacobs Solutions Inc. Common Stock (J) [ST]E 09/30/2024 10/02/2024 $15,001 - $50,000 


Jacobs Solutions Inc. Common Stock (J) [ST]E 09/30/2024 10/02/2024 $15,001 - $50,000 


Jacobs Solutions Inc. Common Stock (J) [ST]E 09/30/2024 10/02/2024 $15,001 - $50,000 


Jacobs Solutions Inc. Common Stock (J) [ST]E 09/30/2024 10/02/2024 $15,001 - $50,000 


Jacobs Solutions Inc. Common Stock (J) [ST]E 09/30/2024 10/02/2024 $15,001 - $50,000 


Jacobs Solutions Inc. Common Stock (J) [ST]E 09/30/2024 10/02/2024 $15,001 - $50,000 


Jacobs Solutions Inc. Common Stock (J) [ST]E 09/30/2024 10/02/2024 $1,001 - $15,000 


Liberty Media Corporation - Series A Liberty SiriusXM Common Stock (LSXMA)  [ST]E 09/10/2024 09/17/2024 $1,001 - $15,000ID OwnerAsset Transaction TypeDate Notification DateAmount Cap . Gains > 


Liberty Media Corporation - Series C Liberty SiriusXM Common Stock (LSXMK)  [ST]E 09/10/2024 09/17/2024 $1,001 - $15,000 


Nike, Inc. Common Stock (NKE)  [ST] S (partial) 09/11/2024 10/08/2024 $1,001 - $15,000 

SiriusXM Holdings Inc. - Common Stock (SIRI)  [ST]E 09/10/2024 09/17/2024 $1,001 - $15,000 


