(AGIO), P, 01/29/2025, 15000
(ABNB), S, 01/24/2025, 15000
(APG), P, 01/07/2025, 15000
(AVGO), S, 01/30/2025, 15000
(AVGO), P, 01/29/2025, 15000
(CACI), P, 01/31/2025, 50000
(STZ), P, 01/13/2025, 15000
(CRNX), P, 01/29/2025, 15000
(CCI), P, 01/24/2025, 15000
(CVS), P, 01/24/2025, 15000
(XRAY), S, 01/07/2025, 15000
(XRAY), S, 01/08/2025, 15000
(DG), S, 01/24/2025, 15000
(D), S, 01/24/2025, 15000
(EIX), S, 01/24/2025, 15000
(FERG), P, 01/07/2025, 15000
(F), P, 01/24/2025, 15000
(FTV), P, 01/07/2025, 15000
(GDDY), S, 01/07/2025, 15000
(HE), P, 01/31/2025, 100000
(ICFI), S, 02/03/2025, 15000
(INTA), S, 01/22/2025, 15000
(ISRG), P, 01/30/2025, 15000
(JNJ), S, 01/24/2025, 15000
(KLAC), S, 01/13/2025, 15000
(LRCX), S, 01/28/2025, 50000
(LNTH), P, 01/28/2025, 15000
(LNTH), P, 01/13/2025, 15000
(LNTH), P, 01/07/2025, 15000
(LNTH), P, 01/08/2025, 15000
(MCK), S, 01/24/2025, 15000
(MRK), S, 01/24/2025, 15000
(MSFT), P, 01/24/2025, 15000
(MDLZ), S, 01/24/2025, 15000
(PCG), S, 01/24/2025, 15000
(PLTR), P, 01/24/2025, 15000
(PAR), P, 01/22/2025, 15000
(FNA), P, 01/29/2025, 15000
(LUV), P, 01/24/2025, 15000
(SWTX), P, 01/29/2025, 15000
(TCTZF), S, 01/09/2025, 15000
(CI), S, 01/24/2025, 15000
(SJM), S, 01/24/2025, 15000
(USPH), P, 01/29/2025, 15000
(UNH), P, 01/24/2025, 50000
(WAB), S, 01/13/2025, 50000
(WAB), S, 01/07/2025, 15000
(WTW), P, 01/28/2025, 15000
(WTW), P, 01/13/2025, 50000
