JT Amazon.com Inc. - Common Stock (AMZN), P, 02/20/2025, 50000
JT Amazon.com Inc. - Common Stock (AMZN), S, 02/26/2025, 15000
JT Ameriprise Financial Inc. Common Stock (AMP), P, 02/26/2025, 15000
JT Arista Investors Corp. Class A (ARINA), S, 02/20/2025, 50000
JT BlackRock Inc. Common Stock (BLK), S, 02/18/2025, 15000
JT Costco Wholesale Corporation - Common Stock (COST), S, 02/26/2025, 15000
JT CrowdStrike Holdings Inc. - Class A Common Stock (CRWD), P, 02/18/2025, 15000
JT CrowdStrike Holdings Inc. - Class A Common Stock (CRWD), P, 02/26/2025, 15000
JT NVIDIA Corporation - Common Stock (NVDA), S, 02/26/2025, 15000
JT Parker-Hannifin Corporation Common Stock (PH), S, 02/26/2025, 15000
